File,Objective,Iterations (k),Restarts (n),KKT Passes (j),Time (s),Status
25fv47.mps,5502.353027,21080,25,22711,10.7780,Solved
80bau3b.mps,987451.562500,11880,19,12809,11.7840,Solved
adlittle.mps,225435.234375,13120,16,14136,6.0621,Solved
afiro.mps,-464.764435,200,4,223,0.2014,Solved
agg.mps,-36448920.000000,1280,8,1392,0.6699,Solved
agg2.mps,-20177798.000000,2720,12,2948,1.3162,Solved
agg3.mps,10346968.000000,6160,14,6650,2.8387,Solved
bandm.mps,-158.623657,17720,16,19081,7.4228,Solved
beaconfd.mps,33587.140625,53800,24,57883,23.6530,Solved
blend.mps,-30.811016,2800,13,3036,1.3475,Solved
bnl1.mps,1949.408447,92974,28,100002,29.3059,Unsolved (KKT passes limit exceeded)
bnl2.mps,1827.331909,92974,28,100002,61.9392,Unsolved (KKT passes limit exceeded)
boeing1.mps,-335.218353,37720,29,40607,16.1159,Solved
boeing2.mps,-315.012695,21400,28,23061,9.0297,Solved
bore3d.mps,1414.401367,92970,30,100002,38.8730,Unsolved (KKT passes limit exceeded)
brandy.mps,1518.461914,14640,24,15786,6.1147,Solved
capri.mps,2678.652100,92978,26,100002,37.5054,Unsolved (KKT passes limit exceeded)
cre-a.mps,23595382.000000,39440,28,42454,29.3655,Solved
cre-b.mps,23129042.000000,24440,28,26329,168.3354,Solved
cre-c.mps,25280862.000000,55880,30,60131,41.0022,Solved
cre-d.mps,24456646.000000,43400,31,46717,291.8503,Solved
cycle.mps,-5.219678,92960,36,100004,58.7021,Unsolved (KKT passes limit exceeded)
czprob.mps,2188389.000000,7960,20,8597,4.5820,Solved
d2q06c.mps,122782.992188,79600,25,85620,60.6135,Solved
d6cube.mps,315.497925,9000,18,9711,5.8394,Solved
degen2.mps,-1435.168823,3480,12,3765,1.7011,Solved
degen3.mps,-987.293396,20440,19,22011,11.1888,Solved
dfl001.mps,11021502.000000,17280,31,18638,31.0120,Solved
e226.mps,-18.747242,92959,37,100002,35.0274,Solved
etamacro.mps,-755.878235,9280,20,10016,3.7643,Solved
fffff800.mps,509579.968750,92962,34,100002,36.2769,Unsolved (KKT passes limit exceeded)
finnis.mps,172752.187500,10880,17,11730,4.4123,Solved
fit1d.mps,-9146.382812,92972,29,100002,36.4731,Unsolved (KKT passes limit exceeded)
fit1p.mps,9146.379883,60440,39,65051,23.8314,Solved
fit2d.mps,-68464.187500,92953,40,100002,67.5300,Unsolved (KKT passes limit exceeded)
fit2p.mps,68463.687500,92937,48,100002,107.2075,Unsolved (KKT passes limit exceeded)
forplan.mps,-700.986267,39320,27,42323,15.5190,Solved
ganges.mps,-111558.359375,4200,15,4545,2.0911,Solved
gfrd-pnc.mps,7445107.000000,92955,39,100002,29.4379,Unsolved (KKT passes limit exceeded)
greenbea.mps,-47227460.000000,92988,21,100002,68.4948,Unsolved (KKT passes limit exceeded)
greenbeb.mps,-4310612.500000,92964,33,100002,68.6134,Unsolved (KKT passes limit exceeded)
grow15.mps,-106871096.000000,92966,32,100002,35.3469,Unsolved (KKT passes limit exceeded)
grow22.mps,-160834096.000000,92960,35,100002,35.1778,Unsolved (KKT passes limit exceeded)
grow7.mps,-47787864.000000,92959,37,100002,34.8292,Unsolved (KKT passes limit exceeded)
israel.mps,-896641.312500,6200,19,6703,2.5263,Solved
kb2.mps,-1749.915039,92970,30,100002,36.7051,Unsolved (KKT passes limit exceeded)
ken-07.mps,-679576192.000000,5960,14,6435,3.9987,Solved
ken-11.mps,-6973562368.000000,14320,16,15426,60.4202,Solved
ken-13.mps,-10259038208.000000,11080,12,11935,95.1049,Solved
ken-18.mps,-52204949504.000000,17320,13,18645,2725.9700,Solved
lotfi.mps,-26.661552,92966,32,100002,41.8594,Unsolved (KKT passes limit exceeded)
maros-r7.mps,1497184.875000,840,7,917,1.0571,Solved
maros.mps,-58064.941406,92966,32,100002,43.0367,Unsolved (KKT passes limit exceeded)
modszk1.mps,105516.507812,55480,28,59697,24.6016,Solved
nesm.mps,14075563.000000,23800,21,25627,12.2692,Solved
osa-07.mps,535848.812500,4400,14,4758,7.0499,Solved
osa-14.mps,1106518.125000,6280,16,6783,25.9793,Solved
osa-30.mps,2142663.500000,9440,20,10188,79.4876,Solved
osa-60.mps,4043753.250000,24320,27,26198,1962.0037,Solved
pds-02.mps,28857755648.000000,4880,15,5276,4.8098,Solved
pds-06.mps,27760887808.000000,8760,19,9455,33.3433,Solved
pds-10.mps,26725750784.000000,7720,18,8335,51.8735,Solved
pds-20.mps,23822000128.000000,15320,17,16503,558.7258,Solved
perold.mps,nan,92982,24,100002,42.9263,Unsolved (KKT passes limit exceeded)
pilot.ja.mps,-4514.152832,92972,29,100002,45.4336,Unsolved (KKT passes limit exceeded)
pilot.mps,-490.797699,92980,25,100002,56.6373,Unsolved (KKT passes limit exceeded)
pilot.we.mps,-2854.869385,92962,34,100002,46.2697,Unsolved (KKT passes limit exceeded)
pilot4.mps,-2011.916626,92955,39,100002,36.9690,Unsolved (KKT passes limit exceeded)
pilot87.mps,305.355225,46960,25,50532,32.1022,Solved
pilotnov.mps,-4497.274414,92970,30,100002,42.4538,Unsolved (KKT passes limit exceeded)
qap12.mps,522.892151,4960,11,5354,5.0222,Solved
qap15.mps,1041.014404,2880,9,3114,8.3788,Solved
qap8.mps,203.500061,920,7,1003,0.4533,Solved
recipe.mps,-266.615967,92962,34,100002,36.7603,Unsolved (KKT passes limit exceeded)
sc105.mps,-52.201687,3320,12,3593,1.3950,Solved
sc205.mps,-52.176373,92976,27,100002,36.4644,Unsolved (KKT passes limit exceeded)
sc50a.mps,-64.581688,560,6,614,0.3105,Solved
sc50b.mps,-70.001648,960,8,1048,0.4700,Solved
scagr25.mps,-14733636.000000,8520,17,9193,3.4219,Solved
scagr7.mps,-2329099.500000,7080,15,7641,2.8779,Solved
scfxm1.mps,18416.724609,9320,18,10055,3.7336,Solved
scfxm2.mps,36659.902344,24280,21,26143,9.6504,Solved
scfxm3.mps,54901.164062,23880,19,25709,9.7131,Solved
scorpion.mps,1877.841064,4600,12,4969,1.8927,Solved
scrs8.mps,904.515686,92974,28,100002,36.7807,Unsolved (KKT passes limit exceeded)
scsd1.mps,8.666071,600,6,657,0.3089,Solved
scsd6.mps,50.499390,1520,12,1658,0.6724,Solved
scsd8.mps,904.984436,8480,17,9150,3.6680,Solved
sctap1.mps,1412.239014,2600,12,2819,1.1070,Solved
sctap2.mps,1724.846436,880,7,960,0.4998,Solved
sctap3.mps,1424.004761,400,6,442,0.3324,Solved
seba.mps,15711.590820,89760,33,96558,35.5313,Solved
share1b.mps,-76587.117188,92962,34,100002,36.4303,Unsolved (KKT passes limit exceeded)
share2b.mps,-415.733429,70640,30,75998,27.9456,Solved
shell.mps,1208852864.000000,16280,19,17539,6.7170,Solved
ship04l.mps,1793955.750000,6760,14,7295,2.8662,Solved
ship04s.mps,1798566.000000,8000,16,8632,3.2597,Solved
ship08l.mps,1909042.375000,23920,22,25758,12.7837,Solved
ship08s.mps,1921904.875000,10080,17,10870,3.8065,Solved
ship12l.mps,1470220.750000,12600,19,13583,7.8774,Solved
ship12s.mps,1489234.000000,20480,19,22054,10.3860,Solved
sierra.mps,15421651.000000,3440,10,3718,1.7319,Solved
stair.mps,-237.637100,92996,17,100002,36.3666,Unsolved (KKT passes limit exceeded)
standata.mps,1257.624268,37440,31,40310,14.8060,Solved
standgub.mps,1257.746216,35840,30,38588,14.4115,Solved
standmps.mps,1406.336792,47600,25,51220,19.0363,Solved
stocfor1.mps,-41131.953125,10520,22,11353,4.2352,Solved
stocfor2.mps,-39024.578125,92966,32,100002,51.6629,Unsolved (KKT passes limit exceeded)
stocfor3.mps,-39969.722656,92978,26,100002,347.1213,Unsolved (KKT passes limit exceeded)
truss.mps,458827.437500,34200,19,36803,26.0440,Solved
tuff.mps,0.630528,92974,28,100002,36.7399,Unsolved (KKT passes limit exceeded)
vtp.base.mps,323450.687500,92982,24,100002,36.9167,Unsolved (KKT passes limit exceeded)
wood1p.mps,nan,92996,17,100002,39.5579,Unsolved (KKT passes limit exceeded)
woodw.mps,1.304454,50520,27,54363,38.4125,Solved
